"appId","appLabel","date","score","sentiment","themes","text","url"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-12-14T01:49:24.275Z","5","positive","ads;reporting;easy_useful","Can download report & easy to use","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=1d6a8042-97d3-4537-877d-c41cd98ca756"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-12-08T23:20:19.976Z","5","positive","easy_useful","Very helpful","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=d3c95c6c-ec18-4885-ad72-d4f81818d7ba"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-11-28T12:41:01.167Z","5","positive","easy_useful;agent_workflow","Very helpful for me as a real estate nego. Everything is on my finger tips. Great app. I will give 5 ✨","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=047cec7f-97d9-4277-b3d5-c6956608e368"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-11-24T06:47:40.157Z","5","positive","easy_useful","Best app ever","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=3dda0ddb-9cc3-4ac1-bd2e-d095442b4179"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-11-15T07:54:40.555Z","5","positive","feature_depth","Superb! Complete app.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=7e23d03d-25d2-4ffb-9402-2556372c0fb0"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-11-15T01:57:58.759Z","4","positive","easy_useful","Easy to use.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=fb061dbf-a4c7-44d5-a782-0ed8a25981eb"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-11-14T03:05:02.604Z","5","positive","easy_useful;feature_depth","Easy and good calculation summary","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=5d1f591c-196f-4200-889f-d2cb323e2fae"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-11-13T14:44:37.591Z","5","positive","easy_useful","It helps me everytime. Very useful","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=cace2db9-4b66-442f-95cc-ff67c8e8cf0a"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-11-11T07:51:48.262Z","5","positive","easy_useful","Good app n info","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=1af526e0-11f5-40b5-9458-ad5d070bcc71"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-11-09T04:55:24.457Z","5","positive","agent_workflow","It is powerful tool to property agent","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=537bd5a0-b6b3-41ec-b9e3-4308657f2975"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-11-05T17:39:00.122Z","5","positive","easy_useful","Best apps, handy use.👍👍👍","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=354d7836-f9cf-40c0-b860-5e5949464516"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-11-03T18:40:29.400Z","5","positive","easy_useful;agent_workflow","Easy for me as Real Estate Agent","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=828445e5-786c-42c8-a494-e2ec7154b200"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-10-18T06:12:32.162Z","2","negative","easy_useful","Good","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=af57630c-e188-40c7-a916-9843a306e8fe"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-10-17T10:08:33.852Z","5","positive","easy_useful","Unexpect this is very good app","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=3823635f-42f2-48ed-a727-23602805e648"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-09-19T00:59:32.580Z","5","positive","agent_workflow","Very handy calculator for real estate agents. Responsive developers as well. Found a bug and they sorted it out within days.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=15eb5210-b7db-464b-a96f-1a8b039270d9"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-09-16T05:31:18.320Z","5","positive","ads","Hating ads","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=c8615d37-d9c9-435c-a13b-4301f2890d5e"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-09-04T05:56:33.948Z","5","positive","ads;accuracy;feature_depth","For the DSR percentage i noticed that the app took the 40% instead of 60% or 70% when calculated for the loan eligibility. Usually banks will take the 60% or 70%. So the result is too conservative. Correct me if i am wrong. Tq","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=211339a0-7d0d-4cc4-8811-f476b23a2835"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-09-03T02:58:20.919Z","5","positive","easy_useful;feature_depth","Simple and comprehensive. 👍🏻💖","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=5ade288f-4fdc-4f03-8589-2f784981d252"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-08-29T11:46:25.691Z","5","positive","easy_useful","Very Good","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=67510adf-da2a-4ec8-b5f5-52f3733b0201"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-08-24T02:11:11.158Z","4","positive","easy_useful","good","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=e79debdd-ceec-4c82-9f21-8b6a3f9f429e"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-08-19T00:03:24.350Z","5","positive","easy_useful;agent_workflow","Very good apps. A good assistance for me in my daily life as Real Estate Negotiator","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=2d97f6cd-94af-4356-bb22-df7419df2a95"
